Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450024929;BORNE_FONTAINE;BF Bayard;;59;RUE SAINT CHARLES;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.287589053637282, 48.84889970875004], ""type"": ""Point""}";48.84889970875004, 2.287589053637282
450080523;BORNE_FONTAINE;GHM Ville de Paris;66F;;RUE STENDHAL;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.399949237879195, 48.863164985771036], ""type"": ""Point""}";48.863164985771036, 2.399949237879195
450084801;BORNE_FONTAINE;GHM Ville de Paris;52F;;BOULEVARD DE LA BASTILLE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.369099580005373, 48.85219219688049], ""type"": ""Point""}";48.85219219688049, 2.369099580005373
450085138;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;2 FACE;;PLACE MAURICE QUENTIN;PARIS 1ER ARRONDISSEMENT;NON;2024-09-17T04:00:00+02:00;;FERMETURE HIVERNALE;"{""coordinates"": [2.3453619318244967, 48.8615971949754], ""type"": ""Point""}";48.8615971949754, 2.3453619318244967
450085141;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;;Face 8;RUE JOLIVET;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.323696652878693, 48.840881686796855], ""type"": ""Point""}";48.840881686796855, 2.323696652878693
450085303;FONTAINE_2EN1;Mât source;;151;BOULEVARD DE L HOPITAL;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.357422079889659, 48.83368653570259], ""type"": ""Point""}";48.83368653570259, 2.357422079889659
450085262;FONTAINE_2EN1;Mât source;18;;RUE D ALSACE;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3577299282245243, 48.876641493444566], ""type"": ""Point""}";48.876641493444566, 2.3577299282245243
450085265;FONTAINE_2EN1;Mât source;;1;RUE MATHIS;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3761880075556197, 48.89055495097815], ""type"": ""Point""}";48.89055495097815, 2.3761880075556197
450085036;FONTAINE_2EN1;Mât source;72;;RUE GUY MOQUET;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.327159864668665, 48.892843856992144], ""type"": ""Point""}";48.892843856992144, 2.327159864668665
450085037;FONTAINE_2EN1;Mât source;;77;QUAI DE VALMY;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.364155657858572, 48.87222118949761], ""type"": ""Point""}";48.87222118949761, 2.364155657858572
450085039;FONTAINE_2EN1;Mât source;;1;PLACE FERDINAND BRUNOT;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.326687167873766, 48.83281555201198], ""type"": ""Point""}";48.83281555201198, 2.326687167873766
450085123;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;2;;PLACE DE LA CONCORDE;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.322953596297946, 48.866621779583404], ""type"": ""Point""}";48.866621779583404, 2.322953596297946
450085215;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;;;RUE ROYALE;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.323606058200541, 48.868505560211574], ""type"": ""Point""}";48.868505560211574, 2.323606058200541
450085221;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;18;;AVENUE ELISEE RECLUS;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2987043416128308, 48.857618438949075], ""type"": ""Point""}";48.857618438949075, 2.2987043416128308
450071284;FONTAINE_ARCEAU;Fontaine Arceau;12F;;PLACE DE LA REPUBLIQUE;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.363237386574545, 48.86804406870012], ""type"": ""Point""}";48.86804406870012, 2.363237386574545
450080318;FONTAINE_ARCEAU;Fontaine Arceau;;;PLACE DU MARCHE SAINT HONORE;PARIS 1ER ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3313034503184493, 48.86655789154497], ""type"": ""Point""}";48.86655789154497, 2.3313034503184493
450080620;FONTAINE_ARCEAU;Fontaine Arceau;;;PLACE GAMBETTA;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.398123549594638, 48.864653758812004], ""type"": ""Point""}";48.864653758812004, 2.398123549594638
450025549;FONTAINE_BOIS;Wallace Bois;;;ROUTE CEINTURE LAC DAUMESNIL;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.413781122249011, 48.82847706672965], ""type"": ""Point""}";48.82847706672965, 2.413781122249011
450026022;FONTAINE_BOIS;Ville de Paris Bois;;;CHEMIN CEINTURE LAC INFERIEUR;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.262373075857603, 48.86836819588578], ""type"": ""Point""}";48.86836819588578, 2.262373075857603
450025439;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA TOURELLE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.42840677232719, 48.84031707612369], ""type"": ""Point""}";48.84031707612369, 2.42840677232719
450025525;FONTAINE_BOIS;Wallace Bois;;;ROUTE SAINT LOUIS;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4256460591297606, 48.827175619828914], ""type"": ""Point""}";48.827175619828914, 2.4256460591297606
450025221;FONTAINE_BOIS;Wallace Bois;;;ROUTE DU CHAMP DE MANOEUVRE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4493098294490685, 48.83515372879672], ""type"": ""Point""}";48.83515372879672, 2.4493098294490685
450070522;FONTAINE_BOIS;Ville de Paris Bois;;;PORTE DES SABLONS;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.27072188982536, 48.878486349013954], ""type"": ""Point""}";48.878486349013954, 2.27072188982536
450072348;FONTAINE_BOIS;Particulier;94;;RUE D ALLERAY;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3084912747825515, 48.83576838682285], ""type"": ""Point""}";48.83576838682285, 2.3084912747825515
450072239;FONTAINE_BOIS;GHM Bois;;;SQUARE HELOISE ET ABELARD;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3706919429479774, 48.83149586176191], ""type"": ""Point""}";48.83149586176191, 2.3706919429479774
450072444;FONTAINE_BOIS;GHM Bois;;;SQUARE JEROME BELLAT;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.294352087240177, 48.88614207278622], ""type"": ""Point""}";48.88614207278622, 2.294352087240177
450071923;FONTAINE_BOIS;GHM Bois;8;;RUE DES RECOLLETS;PARIS 10EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.361348046568227, 48.875331064984806], ""type"": ""Point""}";48.875331064984806, 2.361348046568227
450072575;FONTAINE_BOIS;GHM Bois;;;PARC DES BUTTES CHAUMONT;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.382455665481739, 48.88222079236485], ""type"": ""Point""}";48.88222079236485, 2.382455665481739
450072576;FONTAINE_BOIS;GHM Bois;;;PARC DES BUTTES CHAUMONT;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3798920851826852, 48.880212098841355], ""type"": ""Point""}";48.880212098841355, 2.3798920851826852
450072577;FONTAINE_BOIS;GHM Bois;;;PARC DES BUTTES CHAUMONT;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.380547782409266, 48.87675720767261], ""type"": ""Point""}";48.87675720767261, 2.380547782409266
450072425;FONTAINE_BOIS;GHM Bois;;;PARC SAINTE PERINE;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.268985897181793, 48.84486014709197], ""type"": ""Point""}";48.84486014709197, 2.268985897181793
450072618;FONTAINE_BOIS;GHM Bois;;;PARC DE BELLEVILLE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.386402640647766, 48.87072602974755], ""type"": ""Point""}";48.87072602974755, 2.386402640647766
450072191;FONTAINE_BOIS;GHM Bois;;3;RUE MARCEL DUBOIS;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4062592072107067, 48.834780686936895], ""type"": ""Point""}";48.834780686936895, 2.4062592072107067
450072147;FONTAINE_BOIS;GHM Bois;;;JARDIN EMILE GALLE;PARIS 11EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.390791008594914, 48.85425570924949], ""type"": ""Point""}";48.85425570924949, 2.390791008594914
450071755;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PLACE DES VOSGES;PARIS 4EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.365769734472097, 48.85573481826165], ""type"": ""Point""}";48.85573481826165, 2.365769734472097
450072475;FONTAINE_BOIS;Santa Cole Atlantida;;;PARC CLICHY BATIGNOLLES MARTIN LUTHER KING;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3143288475257573, 48.890977055368516], ""type"": ""Point""}";48.890977055368516, 2.3143288475257573
450072459;FONTAINE_BOIS;GHM Bois;12F;;RUE ERNEST ROCHE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.320385912267627, 48.89544745901229], ""type"": ""Point""}";48.89544745901229, 2.320385912267627
450072460;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;165F;BOULEVARD PEREIRE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.293858653821383, 48.883140348725796], ""type"": ""Point""}";48.883140348725796, 2.293858653821383
450071864;FONTAINE_BOIS;GHM Bois;;;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.316241124600049, 48.86541741491062], ""type"": ""Point""}";48.86541741491062, 2.316241124600049
450071866;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;SQUARE MARCEL PAGNOL;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3199218838548044, 48.87593963249799], ""type"": ""Point""}";48.87593963249799, 2.3199218838548044
450071867;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3093013173991945, 48.880058611672], ""type"": ""Point""}";48.880058611672, 2.3093013173991945
450072566;FONTAINE_BOIS;GHM Bois;;39;RUE COMPANS;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3927476662786566, 48.87792983099156], ""type"": ""Point""}";48.87792983099156, 2.3927476662786566
450072567;FONTAINE_BOIS;GHM Bois;;7F;RUE JACQUES DUCHESNE;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.374949069649078, 48.899125923579724], ""type"": ""Point""}";48.899125923579724, 2.374949069649078
450070527;FONTAINE_BOIS;Ville de Paris Bois;;;AVENUE DE SAINT CLOUD;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2548208860739205, 48.85791503856368], ""type"": ""Point""}";48.85791503856368, 2.2548208860739205
450072648;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;10F;;RUE BELGRAND;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.400792639275365, 48.8650547233658], ""type"": ""Point""}";48.8650547233658, 2.400792639275365
450072660;FONTAINE_BOIS;GHM Bois;4;;RUE DU TRANSVAAL;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.386749043815557, 48.87143871234172], ""type"": ""Point""}";48.87143871234172, 2.386749043815557
450077174;FONTAINE_BOIS;Santa Cole Atlantida;;;BOULEVARD PERIPHERIQUE;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4076833708635594, 48.8785282926534], ""type"": ""Point""}";48.8785282926534, 2.4076833708635594
450077672;FONTAINE_BOIS;;;;ALLEE ANDRE BRETON;PARIS 1ER ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3454988388871345, 48.862293897543246], ""type"": ""Point""}";48.862293897543246, 2.3454988388871345
450077687;FONTAINE_BOIS;;;;AVENUE RACHEL;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.332557413388107, 48.88644036219014], ""type"": ""Point""}";48.88644036219014, 2.332557413388107
450077711;FONTAINE_BOIS;;;;AVENUE CIRCULAIRE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.313760391429931, 48.89676715643857], ""type"": ""Point""}";48.89676715643857, 2.313760391429931
450077712;FONTAINE_BOIS;;;;AVENUE CENTRALE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.315673955924618, 48.89679012481472], ""type"": ""Point""}";48.89679012481472, 2.315673955924618
450077716;FONTAINE_BOIS;;;;RUE FELIX FAURE;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2843378038499864, 48.8386177716289], ""type"": ""Point""}";48.8386177716289, 2.2843378038499864
450077725;FONTAINE_BOIS;;;;ALLEE CIRCULAIRE;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3256726054412664, 48.83770467774452], ""type"": ""Point""}";48.83770467774452, 2.3256726054412664
450077727;FONTAINE_BOIS;;;;RUE FROIDEVAUX;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3271233310840396, 48.8363785843234], ""type"": ""Point""}";48.8363785843234, 2.3271233310840396
450077756;FONTAINE_BOIS;;;;CHEMIN HAUTOY;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3902438369907153, 48.86150304771387], ""type"": ""Point""}";48.86150304771387, 2.3902438369907153
450077156;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE GILBERT CESBRON;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.312078788328606, 48.89239692370773], ""type"": ""Point""}";48.89239692370773, 2.312078788328606
450077442;FONTAINE_BOIS;Ville de Paris Bois;;;SQUARE HENRY BATAILLE;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.260739578256721, 48.8560963742542], ""type"": ""Point""}";48.8560963742542, 2.260739578256721
450077445;FONTAINE_BOIS;Ville de Paris Bois;;;SQUARE RACAN;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2557637588992483, 48.85043663840023], ""type"": ""Point""}";48.85043663840023, 2.2557637588992483
450077446;FONTAINE_BOIS;Ville de Paris Bois;;;ROUTE SEINE A LA BUTTE MORTEMART;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2564838901742714, 48.851942530241665], ""type"": ""Point""}";48.851942530241665, 2.2564838901742714
450077480;FONTAINE_BOIS;GHM Bois;;;RUE GEORGE BALANCHINE;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.373455863625999, 48.83607642163615], ""type"": ""Point""}";48.83607642163615, 2.373455863625999
450077506;FONTAINE_BOIS;Particulier;;;RUE COLETTE MAGNY;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3772649012707894, 48.89498918893636], ""type"": ""Point""}";48.89498918893636, 2.3772649012707894
450077522;FONTAINE_BOIS;GHM Bois;148;;RUE DE BAGNOLET;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.406877133311654, 48.86237674770848], ""type"": ""Point""}";48.86237674770848, 2.406877133311654
450080232;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;OUI;;;;"{""coordinates"": [2.4124267388205762, 48.907041060581705], ""type"": ""Point""}";48.907041060581705, 2.4124267388205762
450080240;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;OUI;;;;"{""coordinates"": [2.4020579396942985, 48.90574940450758], ""type"": ""Point""}";48.90574940450758, 2.4020579396942985
450080894;FONTAINE_BOIS;GHM Bois;180;;RUE D AUBERVILLIERS;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3712277690104515, 48.894971365743906], ""type"": ""Point""}";48.894971365743906, 2.3712277690104515
450080989;FONTAINE_BOIS;GHM Bois;;;SQUARE ROBERT BAJAC;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.358632345336227, 48.81878173634154], ""type"": ""Point""}";48.81878173634154, 2.358632345336227
450080815;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;ROUTE DE LA FALUERE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.443103712135, 48.82972254870444], ""type"": ""Point""}";48.82972254870444, 2.443103712135
450080174;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2024-04-02T04:00:00+02:00;;APP SANS EAU;"{""coordinates"": [2.380137536933966, 48.761387200550104], ""type"": ""Point""}";48.761387200550104, 2.380137536933966
450080178;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.3777194585364536, 48.76260889252706], ""type"": ""Point""}";48.76260889252706, 2.3777194585364536
450080197;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.375215918158328, 48.764854261197094], ""type"": ""Point""}";48.764854261197094, 2.375215918158328
450080279;FONTAINE_BOIS;;;;CIMETIERE PARISIEN D'IVRY;IVRY-SUR-SEINE;OUI;;;;"{""coordinates"": [2.3665058609376706, 48.81396642913144], ""type"": ""Point""}";48.81396642913144, 2.3665058609376706
450080221;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;OUI;;;;"{""coordinates"": [2.34603674596163, 48.907381639197446], ""type"": ""Point""}";48.907381639197446, 2.34603674596163
450085184;FONTAINE_BOIS;;;;SQUARE DE LA BUTTE DU CHAPEAU ROUGE;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.400436448468905, 48.880598251643995], ""type"": ""Point""}";48.880598251643995, 2.400436448468905
450084726;FONTAINE_BOIS;Santa Cole Atlantida;;;RUE DES ARBUSTES;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3137332301107745, 48.82736018908656], ""type"": ""Point""}";48.82736018908656, 2.3137332301107745
450085084;FONTAINE_BOIS;GHM Bois;;;RUE DES CHEMINETS;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.398860236734627, 48.88777033592946], ""type"": ""Point""}";48.88777033592946, 2.398860236734627
450019334;FONTNE_WALLACE;Brumisante;;;RUE MARIOTTE;PARIS 17EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3214874497584943, 48.88445898024341], ""type"": ""Point""}";48.88445898024341, 2.3214874497584943
450019270;FONTNE_WALLACE;Brumisante;2S;;PLACE DE LA CONCORDE;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3196944858318296, 48.866237862952964], ""type"": ""Point""}";48.866237862952964, 2.3196944858318296
450071163;FONTNE_WALLACE;Brumisante;;21;RUE ESQUIROL;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3595564695564266, 48.836402790995464], ""type"": ""Point""}";48.836402790995464, 2.3595564695564266
450071499;FTNE_PETILLANTE;Fontaine pétillante;28F;;RUE D AUBERVILLIERS;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3658262163109134, 48.886022711011734], ""type"": ""Point""}";48.886022711011734, 2.3658262163109134
450071663;FTNE_PETILLANTE;Fontaine pétillante;;33F;QUAI ANATOLE FRANCE;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.319749254229415, 48.862628633272074], ""type"": ""Point""}";48.862628633272074, 2.319749254229415
450080855;FONTAINE_BOIS;Santa Cole Atlantida;;;ALLEE COLETTE HEILBRONNER;PARIS 17EME ARRONDISSEMENT;NON;2024-04-05T04:00:00+02:00;;APP SANS EAU;"{""coordinates"": [2.3112711944333335, 48.8926454327821], ""type"": ""Point""}";48.8926454327821, 2.3112711944333335
450080257;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;OUI;;;;"{""coordinates"": [2.403888923640224, 48.90488150433831], ""type"": ""Point""}";48.90488150433831, 2.403888923640224
450080204;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;CIMETIERE PARISIEN DE THIAIS;THIAIS;OUI;;;;"{""coordinates"": [2.3765741931137567, 48.761575966484635], ""type"": ""Point""}";48.761575966484635, 2.3765741931137567
450080212;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;OUI;;;;"{""coordinates"": [2.347812156040046, 48.908378251928895], ""type"": ""Point""}";48.908378251928895, 2.347812156040046
450071267;FONTAINE_TOTEM;Fontaine Totem sur Brcht;18;;QUAI DE L HOTEL DE VILLE;PARIS 4EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3528341943546636, 48.85496814185119], ""type"": ""Point""}";48.85496814185119, 2.3528341943546636
450085148;FONTAINE_TOTEM;Fontaine Totem sur PEI;18;;BOULEVARD VICTOR;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2796826402688817, 48.83554490336092], ""type"": ""Point""}";48.83554490336092, 2.2796826402688817
450019337;FONTNE_WALLACE;Caryatides;42F;;BOULEVARD MARGUERITE DE ROCHECHOUART;PARIS 9EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3464577184890882, 48.88328733424056], ""type"": ""Point""}";48.88328733424056, 2.3464577184890882
450019296;FONTNE_WALLACE;Caryatides;6F;;RUE DE LA CORDERIE;PARIS 3EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3631577968055426, 48.864852974413346], ""type"": ""Point""}";48.864852974413346, 2.3631577968055426
450019322;FONTNE_WALLACE;Brumisante;6F;;RUE SAINT SPIRE;PARIS 2EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3501972199276806, 48.86840080884659], ""type"": ""Point""}";48.86840080884659, 2.3501972199276806
450019321;FONTNE_WALLACE;Caryatides;82;;AVENUE MARCEAU;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2964496430400216, 48.872488004185314], ""type"": ""Point""}";48.872488004185314, 2.2964496430400216
450071687;FONTNE_WALLACE;Caryatides;;1;PLACE PIERRE RIBOULET;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.349572926316227, 48.822096409595254], ""type"": ""Point""}";48.822096409595254, 2.349572926316227
450071165;FONTNE_WALLACE;Caryatides;;;PLACE JULES HENAFFE;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3315262510706147, 48.82378271809491], ""type"": ""Point""}";48.82378271809491, 2.3315262510706147
450071167;FONTNE_WALLACE;Caryatides;36;;RUE POLIVEAU;PARIS 5EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.358193001725715, 48.84007576534075], ""type"": ""Point""}";48.84007576534075, 2.358193001725715
450080639;FONTNE_WALLACE;Brumisante;;;RUE JEAN VARENNE;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3352850929676943, 48.89799416106239], ""type"": ""Point""}";48.89799416106239, 2.3352850929676943
450024992;FTNE_MILLENAIRE;Fontaine du Millénaire;2;;PLACE SAINT MICHEL;PARIS 6EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3438518658763745, 48.85366004955323], ""type"": ""Point""}";48.85366004955323, 2.3438518658763745
450080629;FTNE_PETILLANTE;Fontaine pétillante;;;RUE MANIN;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3827142502428877, 48.88235616705019], ""type"": ""Point""}";48.88235616705019, 2.3827142502428877
450071243;FTNE_POING_EAU;Fontaine Poing d'Eau;;11F;RUE DES REGLISES;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4100925923034953, 48.85487034359723], ""type"": ""Point""}";48.85487034359723, 2.4100925923034953
450019292;BORNE_FONTAINE;GHM Ronde;80F;;COURS DE VINCENNES;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.406058144587103, 48.847344001336964], ""type"": ""Point""}";48.847344001336964, 2.406058144587103
450085155;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;;25;BOULEVARD DE LA TOUR MAUBOURG;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3103004592170984, 48.85999151072714], ""type"": ""Point""}";48.85999151072714, 2.3103004592170984
450085298;FONTAINE_2EN1;Mât source;;41;ALLEE VIVALDI;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3895181610717526, 48.84185135854827], ""type"": ""Point""}";48.84185135854827, 2.3895181610717526
450084839;FONTAINE_2EN1;Mât source;6F;;PLACE EMILE LANDRIN;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.400335192859108, 48.86410634144699], ""type"": ""Point""}";48.86410634144699, 2.400335192859108
450085281;FONTAINE_2EN1;Mât source;;1;RUE VITRUVE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4012939525674852, 48.85604717234784], ""type"": ""Point""}";48.85604717234784, 2.4012939525674852
450072992;FONTAINE_ARCEAU;Fontaine Arceau;1;;PLACE AMBROISE CROIZAT;PARIS 14EME ARRONDISSEMENT;NON;2024-08-30T04:00:00+02:00;2024-09-13T04:00:00+02:00;APP SANS EAU;"{""coordinates"": [2.3284729973273883, 48.821602720233905], ""type"": ""Point""}";48.821602720233905, 2.3284729973273883
450072996;FONTAINE_ARCEAU;Fontaine Arceau;;;PLACE FERNAND FOREST;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.28162722217373, 48.84914286887212], ""type"": ""Point""}";48.84914286887212, 2.28162722217373
450080114;FONTAINE_ARCEAU;Fontaine Arceau;;60;RUE TIQUETONNE;PARIS 2EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.345972250830021, 48.86474285287837], ""type"": ""Point""}";48.86474285287837, 2.345972250830021
450025403;FONTAINE_BOIS;Wallace Bois;;;ROUTE DE LA DAME BLANCHE;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4418003364380603, 48.84486597992987], ""type"": ""Point""}";48.84486597992987, 2.4418003364380603
450072490;FONTAINE_BOIS;GHM Bois;;;SQUARE LOUISE DE MARILLAC;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3601747086903515, 48.884628526701384], ""type"": ""Point""}";48.884628526701384, 2.3601747086903515
450072606;FONTAINE_BOIS;GHM Bois;;5;RUE DE NOISY LE SEC;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.4114329469422393, 48.87275259424578], ""type"": ""Point""}";48.87275259424578, 2.4114329469422393
450072609;FONTAINE_BOIS;Bayard D1;;;PARC DE BELLEVILLE;PARIS 20EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.383339890643229, 48.87206735792698], ""type"": ""Point""}";48.87206735792698, 2.383339890643229
